1; Re:ZERO - Starting Life in Another World;8,3;https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu?q=%20Re%3AZERO%20-Starting%20Life%20in%20Another%20World-%20;https://cdn.myanimelist.net/images/anime/11/79410.jpg;25;25;True;True;;Completed
2;.hack//Sign;7,1;https://myanimelist.net/anime/48/hack__Sign;https://cdn.myanimelist.net/images/anime/1443/94665.jpg;26;0;True;False;Sign > Liminality > Legend of Twilight > Gift > Roots > G.U. Trilogy > G.U. Returner > Quantum > Sekai no Mukou ni;Intresting
3;[C] - CONTROL - The Money and Soul of Possibility;7,3;https://myanimelist.net/anime/10163/C__The_Money_of_Soul_and_Possibility_Control;https://cdn.myanimelist.net/images/anime/5/50551.jpg;11;0;True;False;;Intresting
4;86;0;https://myanimelist.net/anime/41457/86;https://cdn.myanimelist.net/images/anime/1536/106658.jpg;0;0;False;False;;Not Aired Yet
5;A Certain Magical Index;7,5;https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index;https://cdn.myanimelist.net/images/anime/2/75533.jpg;24;0;True;False;;Hmmm
6;A Certain Scientific Accelerator;7,1;https://myanimelist.net/anime/38480/Toaru_Kagaku_no_Accelerator;https://cdn.myanimelist.net/images/anime/1160/99995.jpg;12;0;True;False;;Intresting
7;A Certain Scientific Railgun;7,8;https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun;https://cdn.myanimelist.net/images/anime/8/53581.jpg;24;0;True;False;;Hmmm
8;A Destructive God Sits Next to Me;6,8;https://myanimelist.net/anime/38302/Boku_no_Tonari_ni_Ankoku_Hakaishin_ga_Imasu?q=%20A%20Destructive%20God%20Sits%20Next%20to%20Me%20;https://cdn.myanimelist.net/images/anime/1848/103547.jpg;12;0;False;False;;Whatever
9;A Place Further Than the Universe;8,6;https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho?q=%20A%20Place%20Further%20Than%20the%20Universe%20;https://cdn.myanimelist.net/images/anime/6/89879.jpg;13;0;False;False;;Comedy
10;A Silent Voice;9,0;https://myanimelist.net/anime/28851/Koe_no_Katachi?q=%20A%20Silent%20Voice%20;https://cdn.myanimelist.net/images/anime/1122/96435.jpg;1;1;True;False;;Completed
11;A Sister's All You Need;7,5;https://myanimelist.net/anime/35413/Imouto_sae_Ireba_Ii;https://cdn.myanimelist.net/images/anime/10/88472.jpg;12;0;True;False;;Comedy
12;A Whisker Away;0;https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu;https://cdn.myanimelist.net/images/anime/1045/106389.jpg;1;0;True;False;;Movie
13;Absolute Duo;6,7;https://myanimelist.net/anime/25397/Absolute_Duo?q=%20Absolute%20Duo%20;https://cdn.myanimelist.net/images/anime/4/68839.jpg;12;12;True;False;;Completed
14;Aesthetica of a Rogue Hero;7,1;https://myanimelist.net/anime/13161/Hagure_Yuusha_no_Aesthetica?q=%20Aesthetica%20of%20a%20Rogue%20Hero%20;https://cdn.myanimelist.net/images/anime/9/74047.jpg;12;0;True;False;;Harem
15;Akame ga Kill!;7,7;https://myanimelist.net/anime/22199/Akame_ga_Kill;https://cdn.myanimelist.net/images/anime/1429/95946.jpg;24;0;True;False;;Hmmm
16;Akashic Records of Bastard Magic Instructor;7,3;https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records?q=%20Akashic%20Records%20of%20Bastard%20Magic%20Instructor%20;https://cdn.myanimelist.net/images/anime/8/85593.jpg;12;12;True;False;;Completed
17;Akudama Drive;0;https://myanimelist.net/anime/41433;https://cdn.myanimelist.net/images/anime/1468/109172.jpg;0;0;False;False;;Not Aired Yet
18;Amagami SS;7,5;https://myanimelist.net/anime/8676/Amagami_SS;https://cdn.myanimelist.net/images/anime/10/78699.jpg;25;0;False;False;;Whatever
19;Amagi Brilliant Park;7,6;https://myanimelist.net/anime/22147/Amagi_Brilliant_Park?q=%20Amagi%20Brilliant%20Park%20;https://cdn.myanimelist.net/images/anime/5/85435.jpg;13;0;True;False;;Comedy
20;And you thought there is never a girl online? ;7,0;https://myanimelist.net/anime/31404/Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta?q=%20And%20you%20thought%20there%20is%20never%20a%20girl%20online%3F%20;https://cdn.myanimelist.net/images/anime/3/79414.jpg;12;12;True;False;;Completed
21;Angel Beats!;8,2;https://myanimelist.net/anime/6547/Angel_Beats?q=%20Angel%20Beats!%20;https://cdn.myanimelist.net/images/anime/10/22061.jpg;13;13;True;False;;Completed
22;Angels of Death;6,9;https://myanimelist.net/anime/35994/Satsuriku_no_Tenshi/reviews;https://cdn.myanimelist.net/images/anime/1862/95624.jpg;12;0;True;False;???;Whatever
23;Anohana: The Flower We Saw That Day;8,5;https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai?q=%20Anohana%3A%20The%20Flower%20We%20Saw%20That%20Day%20;https://cdn.myanimelist.net/images/anime/5/79697.jpg;11;0;True;False;;Slice of Life
24;Arifureta: From Commonplace to World's Strongest;6,5;https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou?q=%20Arifureta%3A%20From%20Commonplace%20to%20World%27s%20Strongest%20;https://cdn.myanimelist.net/images/anime/1799/101266.jpg;13;0;True;False;Novel!!!;Whatever
25;As Miss Beelzebub Likes it;7,3;https://myanimelist.net/anime/37716/Beelzebub-jou_no_Okinimesu_mama;https://cdn.myanimelist.net/images/anime/1827/95738.jpg;12;0;False;False;;Comedy
26;Ascendance of a Bookworm;8,1;https://myanimelist.net/anime/39468/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen;https://cdn.myanimelist.net/images/anime/1582/101697.jpg;14;14;True;False;Light Novel?;Completed
27;Asobi Asobase: Workshop Of Fun;8,2;https://myanimelist.net/anime/37171/Asobi_Asobase;https://cdn.myanimelist.net/images/anime/1139/95077.jpg;12;0;False;False;;Comedy
28;Assassination Classroom;8,2;https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu;https://cdn.myanimelist.net/images/anime/5/75639.jpg;22;0;True;False;;Intresting
29;Assassins Pride;6,2;https://myanimelist.net/anime/38572/Assassins_Pride?q=%20ASSASSINS%20PRIDE%20;https://cdn.myanimelist.net/images/anime/1267/103421.jpg;12;0;True;False;Novel???;Whatever
30;Assault Lily BOUQUET;0;https://myanimelist.net/anime/40550/Assault_Lily__Bouquet?q=%20Assault%20Lily%20BOUQUET%20;https://cdn.myanimelist.net/images/anime/1024/108413.jpg;0;0;False;False;;Not Aired Yet
31;Astarotte's Toy;6,7;https://myanimelist.net/anime/9736/Astarotte_no_Omocha?q=%20Astarotte%27s%20Toy%20;https://cdn.myanimelist.net/images/anime/3/75562.jpg;12;0;False;False;???;Harem
32;Astra Lost in Space ;8,3;https://myanimelist.net/anime/39198/Kanata_no_Astra;https://cdn.myanimelist.net/images/anime/1557/100976.jpg;12;0;True;False;;Intresting
33;Atelier Escha & Logy: Alchemists of the Dusk Sky ;6,5;https://myanimelist.net/anime/21167/Escha___Logy_no_Atelier__Tasogare_no_Sora_no_Renkinjutsushi?q=%20Atelier%20Escha%20%26%20Logy%3A%20Alchemists%20of%20the%20Dusk%20Sky%20;https://cdn.myanimelist.net/images/anime/2/61733.jpg;12;0;False;False;???;Comedy
34;Attack on Titan;8,5;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin?q=%20Attack%20on%20Titan%20;https://cdn.myanimelist.net/images/anime/10/47347.jpg;25;25;True;False;;Completed
35;Attack on Titan Season 2;8,4;https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2;https://cdn.myanimelist.net/images/anime/4/84177.jpg;12;12;True;False;;Completed
36;Attack on Titan Season 3;8,5;https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3?q=attack%20on;https://cdn.myanimelist.net/images/anime/1173/92110.jpg;12;12;True;False;;Completed
37;Attack on Titan Season 3 Part 2;9,1;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;https://cdn.myanimelist.net/images/anime/1517/100633.jpg;10;10;True;False;;Completed
38;Attack On Titan The Final Season;0;https://myanimelist.net/anime/40028/Shingeki_no_Kyojin_The_Final_Season;https://cdn.myanimelist.net/images/anime/1384/107759.jpg;0;0;False;False;;Not Aired Yet
39;B: The Beginning ;7,5;https://myanimelist.net/anime/32827/B__The_Beginning;https://cdn.myanimelist.net/images/anime/1564/90469.jpg;12;0;True;False;;Hmmm
40;Babylon;7,2;https://myanimelist.net/anime/37525/Babylon?q=%20BABYLON%20;https://cdn.myanimelist.net/images/anime/1942/102707.jpg;12;0;False;False;;Intresting
41;Back Arrow;0;https://myanimelist.net/anime/40964/Back_Arrow;https://cdn.myanimelist.net/images/anime/1732/105234.jpg;0;0;False;False;;Not Aired Yet
42;Baka and Test - Summon the Beasts;7,7;https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu?q=%20Baka%20and%20Test%20-%20Summon%20the%20Beasts%20;https://cdn.myanimelist.net/images/anime/3/50389.jpg;13;0;True;False;;Harem
43;Barakamon;8,4;https://myanimelist.net/anime/22789/Barakamon?q=%20Barakamon%20;https://cdn.myanimelist.net/images/anime/12/65427.jpg;12;0;True;False;;Slice of Life
44;Beastars;8,4;https://myanimelist.net/anime/39195/Beastars;https://cdn.myanimelist.net/images/anime/1234/102008.jpg;12;0;False;False;;Slice of Life
45;Beyond the Boundary;7,8;https://myanimelist.net/anime/18153/Kyoukai_no_Kanata?q=%20Beyond%20the%20Boundary%20;https://cdn.myanimelist.net/images/anime/3/85468.jpg;12;0;True;False;;Intresting
46;Black Butler;7,9;https://myanimelist.net/anime/4898/Kuroshitsuji?q=%20Black%20Butler%20;https://cdn.myanimelist.net/images/anime/5/27013.jpg;24;24;True;False;;Completed
47;Black Butler II;7,4;https://myanimelist.net/anime/6707/Kuroshitsuji_II;https://cdn.myanimelist.net/images/anime/4/50499.jpg;12;0;True;False;;Watching
48;Blast of Tempest;8,1;https://myanimelist.net/anime/14075/Zetsuen_no_Tempest;https://cdn.myanimelist.net/images/anime/7/42453.jpg;24;0;False;False;;Intresting
49;Bleach;7,9;https://myanimelist.net/anime/269/Bleach?q=%20Bleach%20;https://cdn.myanimelist.net/images/anime/3/40451.jpg;366;366;True;False;;Completed
50;Blend S;7,5;https://myanimelist.net/anime/34618/Blend_S;https://cdn.myanimelist.net/images/anime/6/88286.jpg;12;0;False;False;;Comedy
51;Blood Blockade Battlefront;7,7;https://myanimelist.net/anime/24439/Kekkai_Sensen;https://cdn.myanimelist.net/images/anime/12/73559.jpg;12;0;True;False;;Intresting
52;Blood Lad;7,4;https://myanimelist.net/anime/11633/Blood_Lad?q=%20Blood%20Lad%20;https://cdn.myanimelist.net/images/anime/11/47677.jpg;10;10;True;False;;Completed
53;Bloom Into You;8,0;https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru;https://cdn.myanimelist.net/images/anime/1783/96153.jpg;13;0;True;False;;Slice of Life
54;Blue Exorcist;7,7;https://myanimelist.net/anime/9919/Ao_no_Exorcist;https://cdn.myanimelist.net/images/anime/10/75195.jpg;25;25;True;False;;Completed
55;BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense;7,7;https://myanimelist.net/anime/38790/Itai_no_wa_Iya_nano_de_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu?q=%20BOFURI%3A%20I%20Don%27t%20Want%20to%20Get%20Hurt%2C%20so%20I%27ll%20Max%20Out%20My%20Defense.%20;https://cdn.myanimelist.net/images/anime/1826/105017.jpg;12;12;True;True;;Completed
56;Boku no Hero Academia 2nd Season;8,6;https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season;https://cdn.myanimelist.net/images/anime/12/85221.jpg;25;25;True;False;;Completed
57;Boku no Hero Academia 3rd Season;8,5;https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season;https://cdn.myanimelist.net/images/anime/1319/92084.jpg;25;25;True;False;;Completed
58;Bokutachi no Remake;0;https://myanimelist.net/anime/40904/Bokutachi_no_Remake?q=%20Bokutachi%20no%20Remake%20;https://cdn.myanimelist.net/images/anime/1384/104932.jpg;0;0;False;False;;Not Aired Yet
59;Boogiepop and Others;7,2;https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019;https://cdn.myanimelist.net/images/anime/1135/95454.jpg;18;0;True;False;;Hmmm
60;Bottom-tier Character Tomozaki;0;https://myanimelist.net/anime/40530/Jaku-Chara_Tomozaki-kun?q=%20Jaku-Chara%20Tomozaki-kun%20;https://cdn.myanimelist.net/images/anime/1120/109232.jpg;0;0;False;False;;Not Aired Yet
61;Brynhildr in the Darkness;7,0;https://myanimelist.net/anime/21431/Gokukoku_no_Brynhildr?q=%20Brynhildr%20in%20the%20Darkness%20;https://cdn.myanimelist.net/images/anime/5/61433.jpg;13;13;False;False;Manga!!!;Completed
62;Bungo Stray Dogs ;7,8;https://myanimelist.net/anime/31478/Bungou_Stray_Dogs;https://cdn.myanimelist.net/images/anime/3/79409.jpg;12;12;True;True;;Completed
63;Bungo Stray Dogs 2;8,2;https://myanimelist.net/anime/32867;https://cdn.myanimelist.net/images/anime/5/88585.jpg;12;12;True;False;;Completed
64;Bungo Stray Dogs 3;8,2;https://myanimelist.net/anime/38003;https://cdn.myanimelist.net/images/anime/1037/100463.jpg;12;12;True;False;;Completed
65;Bungou to Alchemist: Shinpan no Haguruma;6,3;https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma?q=bungou%20to%20al;https://cdn.myanimelist.net/images/anime/1336/105954.jpg;13;0;False;False;;Whatever
66;Bunny Drop;8,5;https://myanimelist.net/anime/10162/Usagi_Drop?q=%20Bunny%20Drop%20;https://cdn.myanimelist.net/images/anime/2/29665.jpg;11;0;False;False;;Slice of Life
67;Cautious Hero: The Hero Is Overpowered but Overly Cautious ;7,7;https://myanimelist.net/anime/38659/Shinchou_Yuusha__Kono_Yuusha_ga_Ore_Tsueee_Kuse_ni_Shinchou_Sugiru;https://cdn.myanimelist.net/images/anime/1715/103419.jpg;12;12;True;False;;Completed
68;Chaika - The Coffin Princess;7,4;https://myanimelist.net/anime/20853/Hitsugi_no_Chaika;https://cdn.myanimelist.net/images/anime/8/55257.jpg;12;0;True;False;;Intresting
69;Charlotte;7,9;https://myanimelist.net/anime/28999/Charlotte;https://cdn.myanimelist.net/images/anime/12/74683.jpg;13;0;True;False;;Intresting
70;Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore;0;https://myanimelist.net/anime/40960/Cheat_Kusushi_no_Slow_Life__Isekai_ni_Tsukurou_Drugstore;https://cdn.myanimelist.net/images/anime/1595/107702.jpg;0;0;False;False;;Not Aired Yet
71;Children of the Whales;7,3;https://myanimelist.net/anime/34712/Kujira_no_Kora_wa_Sajou_ni_Utau;https://cdn.myanimelist.net/images/anime/4/86661.jpg;12;0;True;False;;Hmmm
72;Chivalry of a Failed Knight;7,7;https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry?q=%20Chivalry%20of%20a%20Failed%20Knight%20;https://cdn.myanimelist.net/images/anime/9/76493.jpg;12;0;True;False;;Harem
73;Clannad;8,2;https://myanimelist.net/anime/2167/Clannad?q=Clannad;https://cdn.myanimelist.net/images/anime/1804/95033.jpg;23;23;True;False;;Completed
74;Clannad: After Story;9,0;https://myanimelist.net/anime/4181/Clannad__After_Story;https://cdn.myanimelist.net/images/anime/13/24647.jpg;24;24;True;False;;Completed
75;Classroom of the Elite;7,9;https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV?q=%20Classroom%20of%20the%20Elite%20;https://cdn.myanimelist.net/images/anime/5/86830.jpg;12;0;True;False;;Intresting
76;Claymore;7,8;https://myanimelist.net/anime/1818/Claymore?q=%20Claymore%20;https://cdn.myanimelist.net/images/anime/3/21834.jpg;26;26;True;False;;Completed
77;Code Geass: Fukkatsu no Lelouch;8,1;https://myanimelist.net/anime/34437/Code_Geass__Fukkatsu_no_Lelouch;https://cdn.myanimelist.net/images/anime/1647/96892.jpg;1;1;True;False;;Completed
78;Code Geass: Lelouch of the Rebellion;8,8;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch?q=%20Code%20Geass%3A%20Lelouch%20of%20the%20Rebellion%20;https://cdn.myanimelist.net/images/anime/5/50331.jpg;25;25;True;False;;Completed
79;Code Geass: Lelouch of the Rebellion R2 ;8,9;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;https://cdn.myanimelist.net/images/anime/4/9391.jpg;25;25;True;False;;Completed
80;Comic Girls;7,5;https://myanimelist.net/anime/35756/Comic_Girls;https://cdn.myanimelist.net/images/anime/1207/91794.jpg;12;0;False;False;;Comedy
81;Cop Craft;6,9;https://myanimelist.net/anime/38940/Cop_Craft;https://cdn.myanimelist.net/images/anime/1365/103219.jpg;12;0;True;False;;Intresting
82;D.Gray-man;8,1;https://myanimelist.net/anime/1482/DGray-man;https://cdn.myanimelist.net/images/anime/13/75194.jpg;103;0;True;False;Episode 6?;Top
83;Daily Lives of High School Boys;8,3;https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou?q=%20Daily%20Lives%20of%20High%20School%20Boys%20;https://cdn.myanimelist.net/images/anime/3/33257.jpg;12;0;False;False;;Comedy
84;Danganronpa: The Animation ;7,4;https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation;https://cdn.myanimelist.net/images/anime/4/51463.jpg;13;0;True;False;;Intresting
85;Darker than Black;8,2;https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha?q=%20Darker%20than%20Black%20;https://cdn.myanimelist.net/images/anime/5/19570.jpg;25;25;True;False;;Completed
86;Darker than Black: Gemini of the Meteor;7,5;https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini;https://cdn.myanimelist.net/images/anime/11/50373.jpg;12;12;True;False;;Completed
87;Darling in the FranXX;7,5;https://myanimelist.net/anime/35849/Darling_in_the_FranXX;https://cdn.myanimelist.net/images/anime/1614/90408.jpg;24;0;True;False;;Hmmm
88;Darwin's Game;7,5;https://myanimelist.net/anime/38656/Darwins_Game?q=%20Darwin%27s%20Game%20;https://cdn.myanimelist.net/images/anime/1105/104787.jpg;11;0;True;False;;Intresting
89;Date A Live;7,4;https://myanimelist.net/anime/15583/Date_A_Live?q=%20Date%20A%20Live%20;https://cdn.myanimelist.net/images/anime/13/44844.jpg;12;12;True;False;;Completed
90;Date A Live III ;7,2;https://myanimelist.net/anime/36633/Date_A_Live_III?q=%20Date%20A%20Live%20III%20;https://cdn.myanimelist.net/images/anime/1055/100468.jpg;12;12;True;False;;Completed
91;Date A Live IV;0;https://myanimelist.net/anime/41461;https://cdn.myanimelist.net/images/anime/1944/106486l.jpg;0;0;False;False;;Not Aired Yet
92;Death March to the Parallel World Rhapsody;6,7;https://myanimelist.net/anime/34497/Death_March_kara_Hajimaru_Isekai_Kyousoukyoku?q=%20Death%20March%20to%20the%20Parallel%20World%20Rhapsody%20;https://cdn.myanimelist.net/images/anime/4/88911.jpg;12;12;True;True;;Completed
93;Death Note;8,7;https://myanimelist.net/anime/1535/Death_Note?q=%20Death%20Note%20;https://cdn.myanimelist.net/images/anime/9/9453.jpg;37;37;True;False;;Completed
94;Death Parade;8,2;https://myanimelist.net/anime/28223/Death_Parade;https://cdn.myanimelist.net/images/anime/5/71553.jpg;12;0;True;False;;Intresting
95;Deca-Dence;7,6;https://myanimelist.net/anime/40056/Deca-Dence?q=%20Deca-Dence%20;https://cdn.myanimelist.net/images/anime/1627/107552.jpg;12;0;False;False;;Intresting
96;Demon King Daimao;7,0;https://myanimelist.net/anime/7088/Ichiban_Ushiro_no_Daimaou?q=%20Demon%20King%20Daimao%20;https://cdn.myanimelist.net/images/anime/11/75554.jpg;12;8;True;False;;Watching
97;Demon Lord, Retry!;6,6;https://myanimelist.net/anime/38297/Maou-sama_Retry/reviews;https://cdn.myanimelist.net/images/anime/1787/101288.jpg;12;0;True;False;;Comedy
98;Demon Slayer: Kimetsu no Yaiba;8,9;https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba;https://cdn.myanimelist.net/images/anime/1286/99889.jpg;26;26;True;True;;Completed
99;Devilman Crybaby;7,9;https://myanimelist.net/anime/35120/Devilman__Crybaby?q=%20Devilman%20Crybaby%20;https://cdn.myanimelist.net/images/anime/2/89973.jpg;10;10;True;False;;Completed
100;D-Frag!;7,7;https://myanimelist.net/anime/20031/D-Frag?q=%20D-Frag!%20;https://cdn.myanimelist.net/images/anime/2/53407.jpg;12;0;True;False;;Comedy
101;Didn't I Say to Make My Abilities Average in the Next Life?!;7,0;https://myanimelist.net/anime/37393/Watashi_Nouryoku_wa_Heikinchi_de_tte_Itta_yo_ne;https://cdn.myanimelist.net/images/anime/1858/102811.jpg;12;12;True;False;;Completed
102;Do You Like Your Mom? Her Normal Attack is Two Attacks at Full Power;5,7;https://myanimelist.net/anime/38573/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_Desu_ka;https://cdn.myanimelist.net/images/anime/1225/102250.jpg;12;0;False;False;;Whatever
